,text,hashtags,sentement
11,فريق الجزائر الوطني الفائز ببطولة #كأس_العرب يرفع علم #فلسطين بجانب علم بلاده، حركة رمزية قد يعتبرها البعض عادية ولكنها ثقيلة على الكيان الصهيوني، فاكثر شئ يقلقه هو تمسك الشعوب الحية بقضية فلسطين، هذا التعاطف يجعل شعلة الأمل لا تنطفي، تحية لفريق الجزائر ولشعبه https://t.co/RfKZrnkZ10,['كأس_العرب'],positive
12,"تعرف على قائمة هدافي #كأس_العرب  2021 
https://t.co/NXMqjcK53L 
#كأس_العرب_2021 
#فيفا22 
#نون_أون_لاين 
#نون",['كأس_العرب'],neutral
13,"منتخب الجزائر يتوج ببطولة #كأس_العرب ويرفع لاعبيه علم #فلسطين وعلم الجزائر وبن سلمان وعيال زايد يبلطوا البحر هم واسيادهم في كيان الاحتلال
تحية لشعب الجزائر العظيم https://t.co/eCtCOSw4DJ",['كأس_العرب'],positive
14,"المتحدث الرسمي للجنة العليا للمشاريع والإرث خالد النعمة لـ""العربي الجديد"": ""ما بعد #كأس_العرب هو أفضل كأس عالم في التاريخ وفي انتظار ذلك، فإن هناك عديد الأحداث التي تسبق الحدث الأكبر"" ⚽

@alnaamak @roadto2022
https://t.co/vt9cTDJF7r",['كأس_العرب'],positive
15,"هي #قطر مش عاملة #كأس_العرب
عشان تجمع العرب
هي #جطر مش ناوية تنضف ومدخلش الزبالة
عندها عشان نقف جنبها في #كاس_العالم https://t.co/kDTcdmfY3m",['كأس_العرب'],negative
16,"#كأس_العرب
للدعايه  والاعلان 
1️⃣مشاهدات
2️⃣رفع تاق ترند 
3️⃣خدمات تويتر 
4️⃣خدمات يوتيوب
5️⃣خدمات إنستقرام
6️⃣زيادة متابعـين حقيقيين👌 
7️⃣اشتراكات رتويت 🔄 لايك اسبوع وشهري 
الكثير من الخدمات
 وارخص الاسعار
للتواصل واتس 
 @abwshog https://t.co/FWopdUA41U",['كأس_العرب'],neutral
17,فريق الجزائر الوطني الفائز ببطولة #كأس_العرب يرفع علم #فلسطين بجانب علم بلاده، حركة رمزية قد يعتبرها البعض عادية ولكنها ثقيلة على الكيان الصهيوني، فاكثر شئ يقلقه هو تمسك الشعوب الحية بقضية فلسطين، هذا التعاطف يجعل شعلة الأمل لا تنطفي، تحية لفريق الجزائر ولشعبه https://t.co/RfKZrnkZ10,['كأس_العرب'],positive
18,"هذا الجزائري استحق قبلة على رأسه .
قال : نحن و #المغرب أشقاء ولن يفرقنا السياسيون .
#الجزائر #المغرب #كأس_العرب #قطر https://t.co/PXP7OjEvlE",['كأس_العرب'],positive
19,"داخلين علي 2023
وحياتنا واقفه ف 2020
احنا عمرنا بيتسرق
#كأس_العرب 
#محمد_بن_سلمان 
#محمد_صلاح_او_ابوتريكه 
#مصر_الاردن 
#الحب_وش_نكهته",['كأس_العرب'],positive
20,"🚀🔥 تسديدة صاروخية خرافية من يوسف البلايلي تسكن شباك المنتخب المغربي

#كأس_العرب #مونديال_العرب #المغرب_الجزائر 
#FIFArabCup #ArabCup2021 https://t.co/6Q52tC8NX4",['كأس_العرب'],positive
21,"#كأس_العرب
للدعايه  والاعلان 
1️⃣مشاهدات
2️⃣رفع تاق ترند 
3️⃣خدمات تويتر 
4️⃣خدمات يوتيوب
5️⃣خدمات إنستقرام
6️⃣زيادة متابعـين حقيقيين👌 
7️⃣اشتراكات رتويت 🔄 لايك اسبوع وشهري 
الكثير من الخدمات
 وارخص الاسعار
للتواصل واتس 
 @abwshog https://t.co/1NnxAM4MsQ",['كأس_العرب'],neutral
22,"منتخب الجزائر يتوج ببطولة #كأس_العرب ويرفع لاعبيه علم #فلسطين وعلم الجزائر وبن سلمان وعيال زايد يبلطوا البحر هم واسيادهم في كيان الاحتلال
تحية لشعب الجزائر العظيم https://t.co/eCtCOSw4DJ",['كأس_العرب'],positive
23,"علي معلول ينتظم في تدريبات نسور قرطاج.
#كأس_العرب https://t.co/uQaTUNzIgj",['كأس_العرب'],neutral
24,"#الجزائر_المغرب #كأس_العرب 
يندمو على النهار لي قالو فيه يا الجزائر وحنا جايين🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/W0XzaKpXVg",['كأس_العرب'],negative
25,"شهادات جامعية معتمدة للتواصل عبر الخاص
#بكالوريوس
#ماجيستير
#دكتوراه
،#ايلتس
#توفل
#جامعة_الملك_عبدالعزيز
#جامعه_الملك_خالد
#جامعة_الملك_سعود
#وظائف_الرياض
#كأس_العرب
#كأس_الملك
#سالب_جده
#شوقر_دادي
#جاي_الخير٩
#صباح_Iلخير 
#سلاح_امريكا_يقتل_اليمنيين",['كأس_العرب'],negative
26,"#كأس_العرب: فرحة لاعبي النشامى بهدف #يزن_النعيمات في مرمى مصر 
 
#عاجل #مصر_الأردن #النشامى #معك_يالنشمي #هنا_المملكة https://t.co/ivEzsWK32e",['كأس_العرب'],positive
27,بالنسبة لـ #قطر هي أكبر الفائزين في #كأس_العرب بلا منازع حتى ولو لم تحرز الكأس فقد فازت ونجحت في تنظيم المبهر والرائع لهذه الفعالية اما اذا فازت بالكأس والتنظيم معاً فهذا خير وبركة .,['كأس_العرب'],positive
28,"منتخب الجزائر يتوج ببطولة #كأس_العرب ويرفع لاعبيه علم #فلسطين وعلم الجزائر وبن سلمان وعيال زايد يبلطوا البحر هم واسيادهم في كيان الاحتلال
تحية لشعب الجزائر العظيم https://t.co/eCtCOSw4DJ",['كأس_العرب'],positive
29,"#كأس_العرب 
من وجهة نظرك 
من المنتخب القادر بالفوز بكأس العرب
مصر_ الجزائر _ قطر_ تونس ٠٠
بالنسبه لي  ارشح  قطر",['كأس_العرب'],neutral
30,"📍بسبب الإقصاء أمام #الجزائر.. الجامعة المغربية توقّف #المنتخب_المحلّي من المشاركات الرسمية😲😲

#fifaarabcup #كأس_العرب 
https://t.co/mB0St0ifwk",['كأس_العرب'],neutral
31,"📸👏🏻 | شركة الريل تعلن عن تشغيل قطار فيه 6 مقطورات للمرة الأولى على الخط الأحمر خلال #كأس_العرب 🏆 بهدف مضاعفة السعة الاستيعابية للقطارات لتسهيل نقل الجماهير أثناء البطولة 🚊 

@metrotram_qa | #نديب_قطر | #قطر 🇶🇦 https://t.co/brQeqgpCQ2",['كأس_العرب'],neutral
32,فريق الجزائر الوطني الفائز ببطولة #كأس_العرب يرفع علم #فلسطين بجانب علم بلاده، حركة رمزية قد يعتبرها البعض عادية ولكنها ثقيلة على الكيان الصهيوني، فاكثر شئ يقلقه هو تمسك الشعوب الحية بقضية فلسطين، هذا التعاطف يجعل شعلة الأمل لا تنطفي، تحية لفريق الجزائر ولشعبه https://t.co/RfKZrnkZ10,['كأس_العرب'],positive
33,بعلم #فلسطين.. لاعبو #الجزائر يحتفلون بالتأهل لنصف نهائي #كأس_العرب https://t.co/D6LlBxA1Kb,['كأس_العرب'],positive
34,"من تتمنى أن يفوز بكأس العرب.

#كأس_العرب 
#مصر #تونس #الجزائر #قطر",['كأس_العرب'],neutral
35,"الإبداع ↖️↖️ 
💪🏻🇩🇿
# #الجزاير_المغرب #كأس_العرب https://t.co/2iuG8q13Nv",['كأس_العرب'],positive
36,"صاروخ عابر للقارات 
#المغرب_الجزائر
#كأس_العرب https://t.co/PKEra41C1v",['كأس_العرب'],neutral
37,"هذا الجزائري استحق قبلة على رأسه .
قال : نحن و #المغرب أشقاء ولن يفرقنا السياسيون .
#الجزائر #المغرب #كأس_العرب #قطر https://t.co/PXP7OjEvlE",['كأس_العرب'],positive
38,"🇩🇿 الجزائر تقصي المغرب 🇲🇦 وتكمل عقد الفرق المتأهلة الى نصف نهائي كأس العرب FIFA قطر ٢٠٢١™.

#كأس_العرب #مونديال_العرب #المغرب_الجزائر 
#FIFArabCup #ArabCup2021 https://t.co/pB02JjdFek",['كأس_العرب'],neutral
39,"لما تتفرج علي ماتش مصر وتونس وتشوف الونش بيمنع هدف محقق من سيف الجزيري ويباصي الكوره لايمن اشرف. وعمرو السوليه بيقطع الكوره من معلول ويديها لزيزو.
والدقيقه 85 ومعلول يلعب الاوت ويحط الزغلول
#كأس_العرب #مصر_تونس https://t.co/x10DurRltU",['كأس_العرب'],negative
40,عندما ينقلب السحر على الساحر 🤣💪♥🇩🇿 #كأس_العرب #الجزائر_قطر https://t.co/uGp2vezo3x,['كأس_العرب'],negative
41,فريق الجزائر الوطني الفائز ببطولة #كأس_العرب يرفع علم #فلسطين بجانب علم بلاده، حركة رمزية قد يعتبرها البعض عادية ولكنها ثقيلة على الكيان الصهيوني، فاكثر شئ يقلقه هو تمسك الشعوب الحية بقضية فلسطين، هذا التعاطف يجعل شعلة الأمل لا تنطفي، تحية لفريق الجزائر ولشعبه https://t.co/RfKZrnkZ10,['كأس_العرب'],positive
42,"لمحترفي اللغة الانجليزية🌹❤️
من يستطيع ترجمة كتاب من اللغة العربية إلى اللغة الانجليزية ، ترجمة أجنبية مثل لغة الانجليز بالتمام ، لا أريد ترجمة حرفية او ترجمة جوجل ، من يستطيع يراسلني هنا👍💯
#كأس_العرب",['كأس_العرب'],neutral
43,"🚀🤩 صاروخية بلايلي من زاوية مختلفة 

صِف الهدف بكلمة ✍🏼

#كأس_العرب | #مونديال_العرب | #المغرب_الجزائر 
#FIFArabCup | #ArabCup2021 https://t.co/ngkw7tpP9b",['كأس_العرب'],neutral
44,"بالرغم من نشره فيديو مسيئ لاشقائنا في #الامارات مازال في #قطر
ويحاول ان يفرق العرب في #كأس_العرب
اللي عملاه #قطر عشان تجمع العرب https://t.co/ZYcmqQjR1j",['كأس_العرب'],negative
45,"⭕️ أرقام واحصائيات..نقل 450 ألف مشجع في #كأس_العرب وبيع 476 ألف تذكرة.
https://t.co/PLb4hoM6v2
#استاد_الدوحة https://t.co/iFQDlXwbxA",['كأس_العرب'],neutral
46,"من الأعماق ..

شكرا لكم أهل #عمان ..

#قطر #سلطنة_عمان #كأس_العرب #قطر2022 #الوعد٢٠٢٢ https://t.co/Bg9tAZE0UT",['كأس_العرب'],positive
47,عندما ينقلب السحر على الساحر 🤣💪♥🇩🇿 #كأس_العرب #الجزائر_قطر https://t.co/uGp2vezo3x,['كأس_العرب'],negative
48,"⚽️🥅 المنتخب المصري يدرك التعادل برأسية مروان حمدي

#كأس_العرب #مونديال_العرب
#FIFArabCup #ArabCup2021 https://t.co/jgZBncOMbU",['كأس_العرب'],neutral
49,"علي معلول ينتظم في تدريبات نسور قرطاج.
#كأس_العرب https://t.co/uQaTUNzIgj",['كأس_العرب'],neutral
50,"الحدود الجزائرية المغربية البارح 🇩🇿💪

#الجزائر_المغرب #كأس_العرب https://t.co/MEyZ52QOKc",['كأس_العرب'],neutral
51,"علي معلول ينتظم في تدريبات نسور قرطاج.
#كأس_العرب https://t.co/uQaTUNzIgj",['كأس_العرب'],neutral
52,"🚀🤩 صاروخية بلايلي من زاوية مختلفة 

صِف الهدف بكلمة ✍🏼

#كأس_العرب | #مونديال_العرب | #المغرب_الجزائر 
#FIFArabCup | #ArabCup2021 https://t.co/ngkw7tpP9b",['كأس_العرب'],neutral
53,فريق الجزائر الوطني الفائز ببطولة #كأس_العرب يرفع علم #فلسطين بجانب علم بلاده، حركة رمزية قد يعتبرها البعض عادية ولكنها ثقيلة على الكيان الصهيوني، فاكثر شئ يقلقه هو تمسك الشعوب الحية بقضية فلسطين، هذا التعاطف يجعل شعلة الأمل لا تنطفي، تحية لفريق الجزائر ولشعبه https://t.co/RfKZrnkZ10,['كأس_العرب'],positive
54,"من لديه ثأر من برشلونة فليأخذه هذا الموسم لان الموسم القادم ستكون بالدرجة الثانية 
#برشلونه_اوساسونا 
#كأس_العرب https://t.co/WZFC26AEg7",['كأس_العرب'],neutral
55,"#كأس_العرب 
افضل هدف في البطولة 👏🏻👏🏻 https://t.co/ccEVtXPB7q",['كأس_العرب'],positive
56,"ألف مبروك للفائزين معنا في تخمين نتائج مباريات اليوم [ الخامس والسادس ضمن مواجهات الدور الأول ] من بطولة #كأس_العرب #قطر 😍👏🏻
@1__2A @aabbttt260 https://t.co/7R8zI5MEFL",['كأس_العرب'],positive
57,بعلم #فلسطين.. لاعبو #الجزائر يحتفلون بالتأهل لنصف نهائي #كأس_العرب https://t.co/D6LlBxA1Kb,['كأس_العرب'],positive
58,"منتخب الجزائر يتوج ببطولة #كأس_العرب ويرفع لاعبيه علم #فلسطين وعلم الجزائر وبن سلمان وعيال زايد يبلطوا البحر هم واسيادهم في كيان الاحتلال
تحية لشعب الجزائر العظيم https://t.co/eCtCOSw4DJ",['كأس_العرب'],positive
59,"اهنئ الشعب الجزائري الشقيق لتأهل المنتخب الجزائري لنصف النهائي لبطولة #كأس_العرب 2021م.
عزيمة وإرادة قوية ، بالتوفيق للخضر والف مبروك 🇸🇦🇩🇿 https://t.co/oy6aH928of",['كأس_العرب'],positive
60,"أجواء ربع النهائي 
اليوم الثاني

#مصر #الأردن

#كأس_العرب 🏆 https://t.co/RvXL4t4Z4Z",['كأس_العرب'],neutral
61,فريق الجزائر الوطني الفائز ببطولة #كأس_العرب يرفع علم #فلسطين بجانب علم بلاده، حركة رمزية قد يعتبرها البعض عادية ولكنها ثقيلة على الكيان الصهيوني، فاكثر شئ يقلقه هو تمسك الشعوب الحية بقضية فلسطين، هذا التعاطف يجعل شعلة الأمل لا تنطفي، تحية لفريق الجزائر ولشعبه https://t.co/RfKZrnkZ10,['كأس_العرب'],positive
62,"⭕️ أرقام واحصائيات..نقل 450 ألف مشجع في #كأس_العرب وبيع 476 ألف تذكرة.
https://t.co/PLb4hoM6v2
#استاد_الدوحة https://t.co/iFQDlXwbxA",['كأس_العرب'],neutral
63,"من الأعماق ..

شكرا لكم أهل #عمان ..

#قطر #سلطنة_عمان #كأس_العرب #قطر2022 #الوعد٢٠٢٢ https://t.co/Bg9tAZE0UT",['كأس_العرب'],positive
64,"اهنئ الشعب الجزائري الشقيق لتأهل المنتخب الجزائري لنصف النهائي لبطولة #كأس_العرب 2021م.
عزيمة وإرادة قوية ، بالتوفيق للخضر والف مبروك 🇸🇦🇩🇿 https://t.co/oy6aH928of",['كأس_العرب'],positive
65,"منتخب الجزائر يتوج ببطولة #كأس_العرب ويرفع لاعبيه علم #فلسطين وعلم الجزائر وبن سلمان وعيال زايد يبلطوا البحر هم واسيادهم في كيان الاحتلال
تحية لشعب الجزائر العظيم https://t.co/eCtCOSw4DJ",['كأس_العرب'],positive
66,فريق الجزائر الوطني الفائز ببطولة #كأس_العرب يرفع علم #فلسطين بجانب علم بلاده، حركة رمزية قد يعتبرها البعض عادية ولكنها ثقيلة على الكيان الصهيوني، فاكثر شئ يقلقه هو تمسك الشعوب الحية بقضية فلسطين، هذا التعاطف يجعل شعلة الأمل لا تنطفي، تحية لفريق الجزائر ولشعبه https://t.co/RfKZrnkZ10,['كأس_العرب'],positive
67,بالنسبة لـ #قطر هي أكبر الفائزين في #كأس_العرب بلا منازع حتى ولو لم تحرز الكأس فقد فازت ونجحت في تنظيم المبهر والرائع لهذه الفعالية اما اذا فازت بالكأس والتنظيم معاً فهذا خير وبركة .,['كأس_العرب'],positive
68,"#كأس_العرب | 21 لاعبًا شاركوا في 4 مباريات مع #منتخب_مصر 🇪🇬
https://t.co/dxnTa1970J
https://t.co/dxnTa1970J",['كأس_العرب'],neutral
69,"احلى صورة و تاني احلى لقطة بكل البطوله بعد جمهور الاردن و فلسطين❤❤
#كأس_العرب https://t.co/3mEGjVC012",['كأس_العرب'],positive
70,"🚀🔥 تسديدة صاروخية خرافية من يوسف البلايلي تسكن شباك المنتخب المغربي

#كأس_العرب #مونديال_العرب #المغرب_الجزائر 
#FIFArabCup #ArabCup2021 https://t.co/6Q52tC8NX4",['كأس_العرب'],positive
71,"هل تمنّى #أبو_تريكة فوز منتخب الجزائر بـ #كأس_العرب بعد رفع لاعبيه علم #فلسطين؟
إليكم تحقق #مسبار 
https://t.co/cl3TT2Xti6",['كأس_العرب'],neutral
72,"هذا الجزائري استحق قبلة على رأسه .
قال : نحن و #المغرب أشقاء ولن يفرقنا السياسيون .
#الجزائر #المغرب #كأس_العرب #قطر https://t.co/PXP7OjEvlE",['كأس_العرب'],positive
73,"اهنئ الشعب الجزائري الشقيق لتأهل المنتخب الجزائري لنصف النهائي لبطولة #كأس_العرب 2021م.
عزيمة وإرادة قوية ، بالتوفيق للخضر والف مبروك 🇸🇦🇩🇿 https://t.co/oy6aH928of",['كأس_العرب'],positive
74,"نصف نهائى #كأس_العرب.. أرقام وتاريخ مواجهات مصر وتونس
https://t.co/rzVarmgAUk",['كأس_العرب'],neutral
75,"🚀🤩 صاروخية بلايلي من زاوية مختلفة 

صِف الهدف بكلمة ✍🏼

#كأس_العرب | #مونديال_العرب | #المغرب_الجزائر 
#FIFArabCup | #ArabCup2021 https://t.co/ngkw7tpP9b",['كأس_العرب'],neutral
76,"🚀🤩 صاروخية بلايلي من زاوية مختلفة 

صِف الهدف بكلمة ✍🏼

#كأس_العرب | #مونديال_العرب | #المغرب_الجزائر 
#FIFArabCup | #ArabCup2021 https://t.co/ngkw7tpP9b",['كأس_العرب'],neutral
77,"@Ms3don @Samarsultann وجهة نظر محترمة جدا وياريت فعلا يتم تثبيت #كأس_العرب  بطولة بكامل نجومنا العرب من كل قطر ومش مهم مين ياخد الكأس المهم نتجمع ونحب بعض  
واللى تفرقة السياسة مع الأسف تجمعة الرياضة بكل حب",['كأس_العرب'],positive
78,"""الڤلب""و""الڤرينتا"".. مفتاحا النصر وهرمونا سعادة شعب بأكمله.

شكرا للمحاربين.. تحيا الجزائر  🇩🇿

#كأس_العرب 
#الجزائر🇩🇿 https://t.co/NgDzvcb7tn",['كأس_العرب'],positive
79,"منتخب الجزائر يتوج ببطولة #كأس_العرب ويرفع لاعبيه علم #فلسطين وعلم الجزائر وبن سلمان وعيال زايد يبلطوا البحر هم واسيادهم في كيان الاحتلال
تحية لشعب الجزائر العظيم https://t.co/eCtCOSw4DJ",['كأس_العرب'],positive
80,"هذا الجزائري استحق قبلة على رأسه .
قال : نحن و #المغرب أشقاء ولن يفرقنا السياسيون .
#الجزائر #المغرب #كأس_العرب #قطر https://t.co/PXP7OjEvlE",['كأس_العرب'],positive
81,"🚀🤩 صاروخية بلايلي من زاوية مختلفة 

صِف الهدف بكلمة ✍🏼

#كأس_العرب | #مونديال_العرب | #المغرب_الجزائر 
#FIFArabCup | #ArabCup2021 https://t.co/ngkw7tpP9b",['كأس_العرب'],neutral
82,فريق الجزائر الوطني الفائز ببطولة #كأس_العرب يرفع علم #فلسطين بجانب علم بلاده، حركة رمزية قد يعتبرها البعض عادية ولكنها ثقيلة على الكيان الصهيوني، فاكثر شئ يقلقه هو تمسك الشعوب الحية بقضية فلسطين، هذا التعاطف يجعل شعلة الأمل لا تنطفي، تحية لفريق الجزائر ولشعبه https://t.co/RfKZrnkZ10,['كأس_العرب'],positive
83,فريق الجزائر الوطني الفائز ببطولة #كأس_العرب يرفع علم #فلسطين بجانب علم بلاده، حركة رمزية قد يعتبرها البعض عادية ولكنها ثقيلة على الكيان الصهيوني، فاكثر شئ يقلقه هو تمسك الشعوب الحية بقضية فلسطين، هذا التعاطف يجعل شعلة الأمل لا تنطفي، تحية لفريق الجزائر ولشعبه https://t.co/RfKZrnkZ10,['كأس_العرب'],positive
84,"مرحبا والله ومسهلا بالعثمانيين واحفاد #ارطغرل 😎

#كأس_العرب #كاس_العالم #قطر2022 https://t.co/7Fr82fOTuI",['كأس_العرب'],positive
85,بعلم #فلسطين.. لاعبو #الجزائر يحتفلون بالتأهل لنصف نهائي #كأس_العرب https://t.co/D6LlBxA1Kb,['كأس_العرب'],positive
86,"مباراة ملحمية بين #الجزائر و #المغرب .. ويوسف بلايلي يثلج صدور محاربي الصحراء ويثير رعبهم أيضا..ومنافسة مشتعلة بين 4 منتخبات على لقب #كأس_العرب 
شاركونا توقعاتكم للمنتخب البطل في حلقة الليلة من #تريندينغ_سبورت 
تمام التاسعة والنصف بتوقيت دبي https://t.co/DS8bSb9oJq",['كأس_العرب'],neutral
87,"برشلونة أصبح صيدٱ سهلٱ . .
#برشلونه_اوساسونا
#الليغا
#كأس_العرب
#OsasunaBarça https://t.co/gsU89P2Tp2",['كأس_العرب'],negative
88,"#الجزائر_المغرب #كأس_العرب
جنازة فالموغرييب جنازة🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/0agvBQaxfQ",['كأس_العرب'],negative
89,"#كأس_العرب #فيفا #قطر 2021
انطلاق الإعداد لنصف النهائي و علي معلول ينضم للمجموعة
أكثر تفاصيل : https://t.co/o0TWKWDkSH

#FIFArabCup https://t.co/NWL4VM6S1B",['كأس_العرب'],neutral
90,"🚀🤩 صاروخية بلايلي من زاوية مختلفة 

صِف الهدف بكلمة ✍🏼

#كأس_العرب | #مونديال_العرب | #المغرب_الجزائر 
#FIFArabCup | #ArabCup2021 https://t.co/ngkw7tpP9b",['كأس_العرب'],neutral
91,"#كأس_العرب #فيفا #قطر 2021
انطلاق الإعداد لنصف النهائي و علي معلول ينضم للمجموعة
أكثر تفاصيل : https://t.co/o0TWKWDkSH

#FIFArabCup https://t.co/NWL4VM6S1B",['كأس_العرب'],neutral
92,"هاتافات الشعب الجزائري بعد مباراتهم يوم أمس في بطولة #كأس_العرب 

""بالروح بالدم نفديك يا أقصى"" 

#الجزائر 
#فلسطين https://t.co/uCn5Ptk5Z9",['كأس_العرب'],positive
93,📸 | الأطفال الصغار يسجلون حضورهم في مدرجات ملاعب 🏟#كأس_العرب خلال مواجهة #الجزائر_المغرب . https://t.co/K39nVlaNKL,['كأس_العرب'],neutral
94,"تقرير : مباراة #المغرب_الجزائر 

#كأس_العرب_2021 #كاس_العرب_FIFA #كأس_العرب #كأس_العالم_للأندية https://t.co/nx6cycp1qE",['كأس_العرب'],neutral
95,لاعبو #الجزائر يحتفلون برفع علم فلسطين بعد فوزهم على المغرب وبلوغهم المربع الذهبي في #كأس_العرب بقطر https://t.co/uZieZMLzBI,['كأس_العرب'],positive
96,من يتوج بـ #كأس_العرب؟,['كأس_العرب'],neutral
97,"منتخب الجزائر يتوج ببطولة #كأس_العرب ويرفع لاعبيه علم #فلسطين وعلم الجزائر وبن سلمان وعيال زايد يبلطوا البحر هم واسيادهم في كيان الاحتلال
تحية لشعب الجزائر العظيم https://t.co/eCtCOSw4DJ",['كأس_العرب'],positive
98,"مرحبا والله ومسهلا بالعثمانيين واحفاد #ارطغرل 😎

#كأس_العرب #كاس_العالم #قطر2022 https://t.co/7Fr82fOTuI",['كأس_العرب'],positive
99,@Ms3don قطر ختمت الإبداع في #كأس_العرب,['كأس_العرب'],positive
100,@FollowersAlkass @kalhiddi @AAlbraida @Faisal_Alhajri0 @Arabcup21 بعد النجاح المبهر لكاس العرب في قطر.اتمنى ان تستمر المسابقة #كأس_العرب,['كأس_العرب'],positive
101,"الحدود الجزائرية المغربية البارح 🇩🇿💪

#الجزائر_المغرب #كأس_العرب https://t.co/MEyZ52QOKc",['كأس_العرب'],neutral
102,"#مقاطعة_المنتجات_الفرنسية409 
#مقاطعه_المنتجات_الفرنسيه410 
#مقاطعه_المنتجات_الفرنسيه411 
#مقاطعه_المنتجات_الفرنسيه412 
#فلسطين #فلسطين_قضيتي 
#جمهورية_مرفت #كأس_العرب 
ڪل أقدآر الله طيبــۃ🪔
سوآء طـآبت بهـآ روحڪ أم لم تطب💜🥀
        والله يعلمُ وأنتم لآ تعلمون 🙏 https://t.co/U1Tk2OCX2m",['كأس_العرب'],negative
103,"كأس العرب 2021: مصر والجزائر إلى نصف النهائي

https://t.co/JpH3ZGNXPL
#كأس_العرب #مباراة https://t.co/Hrnk2hvPKw",['كأس_العرب'],neutral
104,"🚀🔥 تسديدة صاروخية خرافية من يوسف البلايلي تسكن شباك المنتخب المغربي

#كأس_العرب #مونديال_العرب #المغرب_الجزائر 
#FIFArabCup #ArabCup2021 https://t.co/6Q52tC8NX4",['كأس_العرب'],positive
105,"هذا الجزائري استحق قبلة على رأسه .
قال : نحن و #المغرب أشقاء ولن يفرقنا السياسيون .
#الجزائر #المغرب #كأس_العرب #قطر https://t.co/PXP7OjEvlE",['كأس_العرب'],positive
106,بعلم #فلسطين.. لاعبو #الجزائر يحتفلون بالتأهل لنصف نهائي #كأس_العرب https://t.co/D6LlBxA1Kb,['كأس_العرب'],positive
107,بعلم #فلسطين.. لاعبو #الجزائر يحتفلون بالتأهل لنصف نهائي #كأس_العرب https://t.co/D6LlBxA1Kb,['كأس_العرب'],positive
108,"🚀🔥 تسديدة صاروخية خرافية من يوسف البلايلي تسكن شباك المنتخب المغربي

#كأس_العرب #مونديال_العرب #المغرب_الجزائر 
#FIFArabCup #ArabCup2021 https://t.co/6Q52tC8NX4",['كأس_العرب'],positive
109,"شكرا #مصر إلى الأمام سر
كل الحب والتقدير لكم 
#المغرب 
#الصحراء_المغربية 
#كأس_العرب https://t.co/OiKQkZa5Y6",['كأس_العرب'],positive
